2026-01-28 17:16:08 : INFO : total_records=18, updated_records=13, failed_records=5
2026-01-28 17:19:37 : INFO : total_records=18, updated_records=13, failed_records=5
2026-01-28 17:21:52 : INFO : total_records=2, updated_records=2, failed_records=0
2026-01-28 17:21:52 : INFO : total_records=4, updated_records=2, failed_records=2
2026-01-28 17:21:52 : INFO : total_records=6, updated_records=4, failed_records=2
2026-01-28 17:21:52 : INFO : total_records=8, updated_records=6, failed_records=2
2026-01-28 17:21:52 : INFO : total_records=10, updated_records=8, failed_records=2
2026-01-28 17:21:52 : INFO : total_records=12, updated_records=10, failed_records=2
2026-01-28 17:21:52 : INFO : total_records=14, updated_records=12, failed_records=2
2026-01-28 17:21:52 : INFO : total_records=16, updated_records=13, failed_records=3
2026-01-28 17:21:52 : INFO : total_records=18, updated_records=13, failed_records=5
